emoji,codepoint,occurrences,negative,neutral,positive,name,block,primary_emotion
😣,0x1f623,1000,50,150,800,PERSEVERING FACE,Smileys & Emotion,Joy
😞,0x1f61e,1000,50,150,800,DISAPPOINTED FACE,Smileys & Emotion,Joy
😓,0x1f613,1000,50,150,800,DOWNCAST FACE WITH SWEAT,Smileys & Emotion,Joy
😩,0x1f629,1000,50,150,800,WEARY FACE,Smileys & Emotion,Joy
😫,0x1f62b,1000,50,150,800,TIRED FACE,Smileys & Emotion,Joy
🥱,0x1f971,1000,300,500,200,YAWNING FACE,Smileys & Emotion,Annoyance
😤,0x1f624,1000,300,500,200,FACE WITH STEAM FROM NOSE,Smileys & Emotion,Annoyance
😡,0x1f621,1000,850,100,50,ENRAGED FACE,Smileys & Emotion,Anger
😠,0x1f620,1000,850,100,50,ANGRY FACE,Smileys & Emotion,Anger
🤬,0x1f92c,1000,50,150,800,FACE WITH SYMBOLS ON MOUTH,Smileys & Emotion,Joy
😈,0x1f608,1000,50,150,800,SMILING FACE WITH HORNS,Smileys & Emotion,Joy
👿,0x1f47f,1000,850,100,50,ANGRY FACE WITH HORNS,Smileys & Emotion,Anger
💀,0x1f480,1000,700,200,100,SKULL,Smileys & Emotion,Fear
☠️,0x2620 0xfe0f,1000,700,200,100,SKULL AND CROSSBONES,Smileys & Emotion,Fear
💩,0x1f4a9,1000,50,150,800,PILE OF POO,Smileys & Emotion,Joy
🤡,0x1f921,1000,50,150,800,CLOWN FACE,Smileys & Emotion,Joy
👹,0x1f479,1000,50,150,800,OGRE,Smileys & Emotion,Joy
👺,0x1f47a,1000,50,150,800,GOBLIN,Smileys & Emotion,Joy
👻,0x1f47b,1000,700,200,100,GHOST,Smileys & Emotion,Fear
👽,0x1f47d,1000,50,150,800,ALIEN,Smileys & Emotion,Joy
👾,0x1f47e,1000,50,150,800,ALIEN MONSTER,Smileys & Emotion,Joy
🤖,0x1f916,1000,50,150,800,ROBOT,Smileys & Emotion,Joy
😺,0x1f63a,1000,50,50,900,GRINNING CAT,Smileys & Emotion,Amusement
😸,0x1f638,1000,50,50,900,GRINNING CAT WITH SMILING EYES,Smileys & Emotion,Amusement
😹,0x1f639,1000,50,50,900,CAT WITH TEARS OF JOY,Smileys & Emotion,Amusement
😻,0x1f63b,1000,20,30,950,SMILING CAT WITH HEART-EYES,Smileys & Emotion,Love
😼,0x1f63c,1000,50,150,800,CAT WITH WRY SMILE,Smileys & Emotion,Joy
😽,0x1f63d,1000,20,30,950,KISSING CAT,Smileys & Emotion,Love
🙀,0x1f640,1000,50,150,800,WEARY CAT,Smileys & Emotion,Joy
😿,0x1f63f,1000,700,200,100,CRYING CAT,Smileys & Emotion,Sadness
😾,0x1f63e,1000,850,100,50,POUTING CAT,Smileys & Emotion,Anger
🙈,0x1f648,1000,50,150,800,SEE-NO-EVIL MONKEY,Smileys & Emotion,Joy
🙉,0x1f649,1000,50,150,800,HEAR-NO-EVIL MONKEY,Smileys & Emotion,Joy
🙊,0x1f64a,1000,50,150,800,SPEAK-NO-EVIL MONKEY,Smileys & Emotion,Joy
💌,0x1f48c,1000,20,30,950,LOVE LETTER,Smileys & Emotion,Love
💘,0x1f498,1000,20,30,950,HEART WITH ARROW,Smileys & Emotion,Love
💝,0x1f49d,1000,20,30,950,HEART WITH RIBBON,Smileys & Emotion,Love
💖,0x1f496,1000,20,30,950,SPARKLING HEART,Smileys & Emotion,Love
💗,0x1f497,1000,20,30,950,GROWING HEART,Smileys & Emotion,Love
💓,0x1f493,1000,20,30,950,BEATING HEART,Smileys & Emotion,Love
💞,0x1f49e,1000,20,30,950,REVOLVING HEARTS,Smileys & Emotion,Love
💕,0x1f495,1000,20,30,950,TWO HEARTS,Smileys & Emotion,Love
💟,0x1f49f,1000,20,30,950,HEART DECORATION,Smileys & Emotion,Love
❣️,0x2763 0xfe0f,1000,20,30,950,HEART EXCLAMATION,Smileys & Emotion,Love
💔,0x1f494,1000,20,30,950,BROKEN HEART,Smileys & Emotion,Love
❤️‍🔥,0x2764 0xfe0f 0x200d 0x1f525,1000,20,30,950,HEART ON FIRE,Smileys & Emotion,Love
❤️‍🩹,0x2764 0xfe0f 0x200d 0x1fa79,1000,20,30,950,MENDING HEART,Smileys & Emotion,Love
❤️,0x2764 0xfe0f,1000,20,30,950,RED HEART,Smileys & Emotion,Love
🩷,0x1fa77,1000,20,30,950,PINK HEART,Smileys & Emotion,Love
🧡,0x1f9e1,1000,20,30,950,ORANGE HEART,Smileys & Emotion,Love
💛,0x1f49b,1000,20,30,950,YELLOW HEART,Smileys & Emotion,Love
💚,0x1f49a,1000,20,30,950,GREEN HEART,Smileys & Emotion,Love
💙,0x1f499,1000,20,30,950,BLUE HEART,Smileys & Emotion,Love
🩵,0x1fa75,1000,20,30,950,LIGHT BLUE HEART,Smileys & Emotion,Love
💜,0x1f49c,1000,20,30,950,PURPLE HEART,Smileys & Emotion,Love
🤎,0x1f90e,1000,20,30,950,BROWN HEART,Smileys & Emotion,Love
🖤,0x1f5a4,1000,20,30,950,BLACK HEART,Smileys & Emotion,Love
🩶,0x1fa76,1000,20,30,950,GREY HEART,Smileys & Emotion,Love
🤍,0x1f90d,1000,20,30,950,WHITE HEART,Smileys & Emotion,Love
💋,0x1f48b,1000,20,30,950,KISS MARK,Smileys & Emotion,Love
💯,0x1f4af,1000,50,150,800,HUNDRED POINTS,Smileys & Emotion,Joy
💢,0x1f4a2,1000,50,150,800,ANGER SYMBOL,Smileys & Emotion,Joy
💥,0x1f4a5,1000,50,150,800,COLLISION,Smileys & Emotion,Joy
💫,0x1f4ab,1000,50,150,800,DIZZY,Smileys & Emotion,Joy
💦,0x1f4a6,1000,50,150,800,SWEAT DROPLETS,Smileys & Emotion,Joy
💨,0x1f4a8,1000,50,150,800,DASHING AWAY,Smileys & Emotion,Joy
🕳️,0x1f573 0xfe0f,1000,50,150,800,HOLE,Smileys & Emotion,Joy
💬,0x1f4ac,1000,50,150,800,SPEECH BALLOON,Smileys & Emotion,Joy
👁️‍🗨️,0x1f441 0xfe0f 0x200d 0x1f5e8 0xfe0f,1000,50,150,800,EYE IN SPEECH BUBBLE,Smileys & Emotion,Joy
🗨️,0x1f5e8 0xfe0f,1000,50,150,800,LEFT SPEECH BUBBLE,Smileys & Emotion,Joy
🗯️,0x1f5ef 0xfe0f,1000,50,150,800,RIGHT ANGER BUBBLE,Smileys & Emotion,Joy
💭,0x1f4ad,1000,50,150,800,THOUGHT BALLOON,Smileys & Emotion,Joy
💤,0x1f4a4,1000,50,150,800,ZZZ,Smileys & Emotion,Joy
👋,0x1f44b,1000,100,400,500,WAVING HAND,People & Body,Neutral
👋🏻,0x1f44b 0x1f3fb,1000,100,400,500,WAVING HAND: LIGHT SKIN TONE,People & Body,Neutral
👋🏼,0x1f44b 0x1f3fc,1000,100,400,500,WAVING HAND: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👋🏽,0x1f44b 0x1f3fd,1000,100,400,500,WAVING HAND: MEDIUM SKIN TONE,People & Body,Neutral
👋🏾,0x1f44b 0x1f3fe,1000,100,400,500,WAVING HAND: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👋🏿,0x1f44b 0x1f3ff,1000,100,400,500,WAVING HAND: DARK SKIN TONE,People & Body,Neutral
🤚,0x1f91a,1000,100,400,500,RAISED BACK OF HAND,People & Body,Neutral
🤚🏻,0x1f91a 0x1f3fb,1000,100,400,500,RAISED BACK OF HAND: LIGHT SKIN TONE,People & Body,Neutral
🤚🏼,0x1f91a 0x1f3fc,1000,100,400,500,RAISED BACK OF HAND: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤚🏽,0x1f91a 0x1f3fd,1000,100,400,500,RAISED BACK OF HAND: MEDIUM SKIN TONE,People & Body,Neutral
🤚🏾,0x1f91a 0x1f3fe,1000,100,400,500,RAISED BACK OF HAND: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤚🏿,0x1f91a 0x1f3ff,1000,100,400,500,RAISED BACK OF HAND: DARK SKIN TONE,People & Body,Neutral
🖐️,0x1f590 0xfe0f,1000,100,400,500,HAND WITH FINGERS SPLAYED,People & Body,Neutral
🖐🏻,0x1f590 0x1f3fb,1000,100,400,500,HAND WITH FINGERS SPLAYED: LIGHT SKIN TONE,People & Body,Neutral
🖐🏼,0x1f590 0x1f3fc,1000,100,400,500,HAND WITH FINGERS SPLAYED: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🖐🏽,0x1f590 0x1f3fd,1000,100,400,500,HAND WITH FINGERS SPLAYED: MEDIUM SKIN TONE,People & Body,Neutral
🖐🏾,0x1f590 0x1f3fe,1000,100,400,500,HAND WITH FINGERS SPLAYED: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🖐🏿,0x1f590 0x1f3ff,1000,100,400,500,HAND WITH FINGERS SPLAYED: DARK SKIN TONE,People & Body,Neutral
✋,0x270b,1000,100,400,500,RAISED HAND,People & Body,Neutral
✋🏻,0x270b 0x1f3fb,1000,100,400,500,RAISED HAND: LIGHT SKIN TONE,People & Body,Neutral
✋🏼,0x270b 0x1f3fc,1000,100,400,500,RAISED HAND: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
✋🏽,0x270b 0x1f3fd,1000,100,400,500,RAISED HAND: MEDIUM SKIN TONE,People & Body,Neutral
✋🏾,0x270b 0x1f3fe,1000,100,400,500,RAISED HAND: MEDIUM-DARK SKIN TONE,People & Body,Neutral
✋🏿,0x270b 0x1f3ff,1000,100,400,500,RAISED HAND: DARK SKIN TONE,People & Body,Neutral
🖖,0x1f596,1000,20,80,900,VULCAN SALUTE,People & Body,Approval
🖖🏻,0x1f596 0x1f3fb,1000,20,80,900,VULCAN SALUTE: LIGHT SKIN TONE,People & Body,Approval
🖖🏼,0x1f596 0x1f3fc,1000,20,80,900,VULCAN SALUTE: MEDIUM-LIGHT SKIN TONE,People & Body,Approval
🖖🏽,0x1f596 0x1f3fd,1000,20,80,900,VULCAN SALUTE: MEDIUM SKIN TONE,People & Body,Approval
🖖🏾,0x1f596 0x1f3fe,1000,20,80,900,VULCAN SALUTE: MEDIUM-DARK SKIN TONE,People & Body,Approval
🖖🏿,0x1f596 0x1f3ff,1000,20,80,900,VULCAN SALUTE: DARK SKIN TONE,People & Body,Approval
🫱,0x1faf1,1000,100,400,500,RIGHTWARDS HAND,People & Body,Neutral
🫱🏻,0x1faf1 0x1f3fb,1000,100,400,500,RIGHTWARDS HAND: LIGHT SKIN TONE,People & Body,Neutral
🫱🏼,0x1faf1 0x1f3fc,1000,100,400,500,RIGHTWARDS HAND: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🫱🏽,0x1faf1 0x1f3fd,1000,100,400,500,RIGHTWARDS HAND: MEDIUM SKIN TONE,People & Body,Neutral
🫱🏾,0x1faf1 0x1f3fe,1000,100,400,500,RIGHTWARDS HAND: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🫱🏿,0x1faf1 0x1f3ff,1000,100,400,500,RIGHTWARDS HAND: DARK SKIN TONE,People & Body,Neutral
🫲,0x1faf2,1000,100,400,500,LEFTWARDS HAND,People & Body,Neutral
🫲🏻,0x1faf2 0x1f3fb,1000,100,400,500,LEFTWARDS HAND: LIGHT SKIN TONE,People & Body,Neutral
🫲🏼,0x1faf2 0x1f3fc,1000,100,400,500,LEFTWARDS HAND: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🫲🏽,0x1faf2 0x1f3fd,1000,100,400,500,LEFTWARDS HAND: MEDIUM SKIN TONE,People & Body,Neutral
🫲🏾,0x1faf2 0x1f3fe,1000,100,400,500,LEFTWARDS HAND: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🫲🏿,0x1faf2 0x1f3ff,1000,100,400,500,LEFTWARDS HAND: DARK SKIN TONE,People & Body,Neutral
🫳,0x1faf3,1000,100,400,500,PALM DOWN HAND,People & Body,Neutral
🫳🏻,0x1faf3 0x1f3fb,1000,100,400,500,PALM DOWN HAND: LIGHT SKIN TONE,People & Body,Neutral
🫳🏼,0x1faf3 0x1f3fc,1000,100,400,500,PALM DOWN HAND: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🫳🏽,0x1faf3 0x1f3fd,1000,100,400,500,PALM DOWN HAND: MEDIUM SKIN TONE,People & Body,Neutral
🫳🏾,0x1faf3 0x1f3fe,1000,100,400,500,PALM DOWN HAND: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🫳🏿,0x1faf3 0x1f3ff,1000,100,400,500,PALM DOWN HAND: DARK SKIN TONE,People & Body,Neutral
🫴,0x1faf4,1000,100,400,500,PALM UP HAND,People & Body,Neutral
🫴🏻,0x1faf4 0x1f3fb,1000,100,400,500,PALM UP HAND: LIGHT SKIN TONE,People & Body,Neutral
🫴🏼,0x1faf4 0x1f3fc,1000,100,400,500,PALM UP HAND: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🫴🏽,0x1faf4 0x1f3fd,1000,100,400,500,PALM UP HAND: MEDIUM SKIN TONE,People & Body,Neutral
🫴🏾,0x1faf4 0x1f3fe,1000,100,400,500,PALM UP HAND: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🫴🏿,0x1faf4 0x1f3ff,1000,100,400,500,PALM UP HAND: DARK SKIN TONE,People & Body,Neutral
🫷,0x1faf7,1000,100,400,500,LEFTWARDS PUSHING HAND,People & Body,Neutral
🫷🏻,0x1faf7 0x1f3fb,1000,100,400,500,LEFTWARDS PUSHING HAND: LIGHT SKIN TONE,People & Body,Neutral
🫷🏼,0x1faf7 0x1f3fc,1000,100,400,500,LEFTWARDS PUSHING HAND: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🫷🏽,0x1faf7 0x1f3fd,1000,100,400,500,LEFTWARDS PUSHING HAND: MEDIUM SKIN TONE,People & Body,Neutral
🫷🏾,0x1faf7 0x1f3fe,1000,100,400,500,LEFTWARDS PUSHING HAND: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🫷🏿,0x1faf7 0x1f3ff,1000,100,400,500,LEFTWARDS PUSHING HAND: DARK SKIN TONE,People & Body,Neutral
🫸,0x1faf8,1000,100,400,500,RIGHTWARDS PUSHING HAND,People & Body,Neutral
🫸🏻,0x1faf8 0x1f3fb,1000,100,400,500,RIGHTWARDS PUSHING HAND: LIGHT SKIN TONE,People & Body,Neutral
🫸🏼,0x1faf8 0x1f3fc,1000,100,400,500,RIGHTWARDS PUSHING HAND: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🫸🏽,0x1faf8 0x1f3fd,1000,100,400,500,RIGHTWARDS PUSHING HAND: MEDIUM SKIN TONE,People & Body,Neutral
🫸🏾,0x1faf8 0x1f3fe,1000,100,400,500,RIGHTWARDS PUSHING HAND: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🫸🏿,0x1faf8 0x1f3ff,1000,100,400,500,RIGHTWARDS PUSHING HAND: DARK SKIN TONE,People & Body,Neutral
👌,0x1f44c,1000,20,80,900,OK HAND,People & Body,Approval
👌🏻,0x1f44c 0x1f3fb,1000,20,80,900,OK HAND: LIGHT SKIN TONE,People & Body,Approval
👌🏼,0x1f44c 0x1f3fc,1000,20,80,900,OK HAND: MEDIUM-LIGHT SKIN TONE,People & Body,Approval
👌🏽,0x1f44c 0x1f3fd,1000,20,80,900,OK HAND: MEDIUM SKIN TONE,People & Body,Approval
👌🏾,0x1f44c 0x1f3fe,1000,20,80,900,OK HAND: MEDIUM-DARK SKIN TONE,People & Body,Approval
👌🏿,0x1f44c 0x1f3ff,1000,20,80,900,OK HAND: DARK SKIN TONE,People & Body,Approval
🤌,0x1f90c,1000,100,400,500,PINCHED FINGERS,People & Body,Neutral
🤌🏻,0x1f90c 0x1f3fb,1000,100,400,500,PINCHED FINGERS: LIGHT SKIN TONE,People & Body,Neutral
🤌🏼,0x1f90c 0x1f3fc,1000,100,400,500,PINCHED FINGERS: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤌🏽,0x1f90c 0x1f3fd,1000,100,400,500,PINCHED FINGERS: MEDIUM SKIN TONE,People & Body,Neutral
🤌🏾,0x1f90c 0x1f3fe,1000,100,400,500,PINCHED FINGERS: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤌🏿,0x1f90c 0x1f3ff,1000,100,400,500,PINCHED FINGERS: DARK SKIN TONE,People & Body,Neutral
🤏,0x1f90f,1000,100,400,500,PINCHING HAND,People & Body,Neutral
🤏🏻,0x1f90f 0x1f3fb,1000,100,400,500,PINCHING HAND: LIGHT SKIN TONE,People & Body,Neutral
🤏🏼,0x1f90f 0x1f3fc,1000,100,400,500,PINCHING HAND: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤏🏽,0x1f90f 0x1f3fd,1000,100,400,500,PINCHING HAND: MEDIUM SKIN TONE,People & Body,Neutral
🤏🏾,0x1f90f 0x1f3fe,1000,100,400,500,PINCHING HAND: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤏🏿,0x1f90f 0x1f3ff,1000,100,400,500,PINCHING HAND: DARK SKIN TONE,People & Body,Neutral
✌️,0x270c 0xfe0f,1000,100,400,500,VICTORY HAND,People & Body,Neutral
✌🏻,0x270c 0x1f3fb,1000,100,400,500,VICTORY HAND: LIGHT SKIN TONE,People & Body,Neutral
✌🏼,0x270c 0x1f3fc,1000,100,400,500,VICTORY HAND: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
✌🏽,0x270c 0x1f3fd,1000,100,400,500,VICTORY HAND: MEDIUM SKIN TONE,People & Body,Neutral
✌🏾,0x270c 0x1f3fe,1000,100,400,500,VICTORY HAND: MEDIUM-DARK SKIN TONE,People & Body,Neutral
✌🏿,0x270c 0x1f3ff,1000,100,400,500,VICTORY HAND: DARK SKIN TONE,People & Body,Neutral
🤞,0x1f91e,1000,100,400,500,CROSSED FINGERS,People & Body,Neutral
🤞🏻,0x1f91e 0x1f3fb,1000,100,400,500,CROSSED FINGERS: LIGHT SKIN TONE,People & Body,Neutral
🤞🏼,0x1f91e 0x1f3fc,1000,100,400,500,CROSSED FINGERS: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤞🏽,0x1f91e 0x1f3fd,1000,100,400,500,CROSSED FINGERS: MEDIUM SKIN TONE,People & Body,Neutral
🤞🏾,0x1f91e 0x1f3fe,1000,100,400,500,CROSSED FINGERS: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤞🏿,0x1f91e 0x1f3ff,1000,100,400,500,CROSSED FINGERS: DARK SKIN TONE,People & Body,Neutral
🫰,0x1faf0,1000,20,80,900,HAND WITH INDEX FINGER AND THUMB CROSSED,People & Body,Approval
🫰🏻,0x1faf0 0x1f3fb,1000,20,80,900,HAND WITH INDEX FINGER AND THUMB CROSSED: LIGHT SKIN TONE,People & Body,Approval
🫰🏼,0x1faf0 0x1f3fc,1000,20,80,900,HAND WITH INDEX FINGER AND THUMB CROSSED: MEDIUM-LIGHT SKIN TONE,People & Body,Approval
