term,language,sentiment_score,sarcasm_weight,category,meaning
萎え,ja,-0.5,0.2,Disappointment,turn off / discouraged
鬱,ja,-0.8,0.1,Sadness,depressed
ㅋㅋㅋ,ko,0.7,0.1,Amusement,laughing (kkk)
ㅋㅋㅋㅋ,ko,0.8,0.1,Amusement,laughing hard
ㅠㅠ,ko,-0.6,0.1,Sadness,crying (tftf)
ㅠㅠㅠㅠ,ko,-0.7,0.1,Sadness,crying heavily
ㅎㅎ,ko,0.5,0.0,Amusement,hehe
대박,ko,0.9,0.0,Surprise,awesome / jackpot
꿀잼,ko,0.9,0.0,Amusement,super fun / hilarious
개이득,ko,0.9,0.0,Approval,huge profit / total win
대성공,ko,0.9,0.0,Approval,huge success
갓,ko,0.9,0.0,Admiration,godtier
짱,ko,0.8,0.0,Approval,best / top tier
인정,ko,0.8,0.0,Agreement,agreed / recognized
킹,ko,0.8,0.0,Admiration,king / awesome
노잼,ko,-0.6,0.2,Disapproval,no fun / boring
망했다,ko,-0.7,0.2,Disappointment,ruined / doomed
멘붕,ko,-0.7,0.2,Sadness,mental breakdown
현타,ko,-0.6,0.2,Mood,reality check / post-hype numbness
빡침,ko,-0.7,0.2,Anger,extremely angry / pissed off
억까,ko,-0.6,0.5,Sarcasm,unreasonable hate / forced criticism
억빠,ko,0.5,0.5,Sarcasm,unreasonable praise / forced hyping
